Test Date,Hardness (kg/cm2),Brix (%),pH,Titratable acidity (g/ml),Label
04-08-2021,7,8,2.85,2.025,0.95
04-08-2021,5.4,15,4.81,0.36,0.95
04-08-2021,9,11,3.41,1.44,0.95
04-08-2021,7.6,11,3.13,1.44,0.95
04-08-2021,3,10,3.25,1.575,0.95
04-08-2021,6,10,3.03,2.925,0.95
04-08-2021,12,8,2.74,3.24,0.95
04-08-2021,9,10,3.19,1.62,0.95
04-08-2021,2.4,10,3.71,0.81,0.95
04-08-2021,1.6,15,5.09,0.405,0.95
04-08-2021,5,7,4.95,2.52,0.95
04-08-2021,6,13,3.3,1.98,0.95
04-08-2021,3.4,17,3.78,2.745,0.95
04-08-2021,4,12,3.09,1.44,0.95
04-08-2021,3.6,15,3.61,0.18,0.95
10-08-2021,1.3,9,4,0.835625,0.9
10-08-2021,5.4,12,2.73,1.825,0.9
10-08-2021,7.4,10,3.6,0.63,0.9
10-08-2021,1,7.5,4,0.835625,0.9
10-08-2021,1.4,8,3.8,0.99,0.9
10-08-2021,0.7,10,4,0.45,0.9
10-08-2021,3.2,12,4.47,0.45,0.9
10-08-2021,5.4,10,3.5,1.125,0.9
10-08-2021,5,12,4.33,0.45,0.9
10-08-2021,2.6,12,3.67,0.765,0.9
16-08-2021,7.6,10,3.09,1.296,0.75
16-08-2021,3.4,10,4.2,0.405,0.75
16-08-2021,1,7,4.41,0.324,0.75
16-08-2021,1.2,7,3.27,1.458,0.75
16-08-2021,2.4,7.5,4.5,0.611857143,0.75
16-08-2021,3,10,4.18,0.28,0.75
16-08-2021,5,10,3.97,0.2,0.75
16-08-2021,1.3,10,6,0.611857143,0.75
16-08-2021,4.6,10,4.06,0.32,0.75
16-08-2021,1.5,7.2,5,0.611857143,0.75
22-08-2021,1.2,10,4.77,0.243,0.5
22-08-2021,2,10,4.89,0.1215,0.5
22-08-2021,0.5,8,6,0.273375,0.5
22-08-2021,3.6,10,4.6,0.2835,0.5
22-08-2021,1,10,4.79,0.1215,0.5
22-08-2021,5.6,11,4.28,0.405,0.5
22-08-2021,0.2,10.25,5,0.273375,0.5
22-08-2021,7,11,4.36,0.5265,0.5
22-08-2021,2.4,7,4.8,0.2835,0.5
22-08-2021,2.6,10,4.82,0.2025,0.5
28-08-2021,1.68,10.1,4.5,0.227,0.3
28-08-2021,1.4,7,4.28,0.162,0.3
28-08-2021,1,7,4.67,0.243,0.3
28-08-2021,5.2,6.5,3,0.227,0.3
28-08-2021,1,14,3.75,0.486,0.3
28-08-2021,1,10,4.71,0.081,0.3
28-08-2021,1.2,11,4.94,0.162,0.3
28-08-2021,1,10,4.93,0.162,0.3
28-08-2021,1,11,3.97,0.293,0.3
28-08-2021,3.7,9,6,0.227,0.3
03-09-2021,1,12,3.68,0.607,0.1
03-09-2021,0,7.2,6,0.4045,0.1
03-09-2021,1,10,4.11,0.202,0.1
03-09-2021,3,8,4.06,0.283,0.05
03-09-2021,4,9,3.2,1.336,0.05
03-09-2021,3,10,4.07,0.486,0.05
03-09-2021,1,12,3.68,0.607,0.05
03-09-2021,3.4,7,4.5,0.84972,0.05
03-09-2021,2,5,3.2,1.7782,0.05
